Source,Target,Type,Id,Weight
ABW,USA,Directed,301,1760
USA,MEX,Directed,7008,19095999180
KOR,CHN,Directed,2141,9172617623
JPN,CHN,Directed,2068,6449194127
ARE,USA,Directed,11637,13990363
USA,CAN,Directed,12028,6073347455
THA,CHN,Directed,2172,3751031080
USA,CHN,Directed,2194,3382952447
SGP,CHN,Directed,2153,3655721682
BEL,DEU,Directed,958,3971441070
NLD,DEU,Directed,7227,3218793981
DEU,ITA,Directed,5550,3243171764
DEU,FRA,Directed,3643,2794152655
BEL,FRA,Directed,952,2503673019
MYS,CHN,Directed,2094,2032595343
BEL,ITA,Directed,983,2298056261
FRA,DEU,Directed,3998,2194594850
DEU,BEL,Directed,959,1989062954
KOR,MEX,Directed,6979,1216714107
FRA,ITA,Directed,5544,1989700626
DEU,CHN,Directed,2037,1379932054
BEL,GBR,Directed,1096,1722129791
SAU,CHN,Directed,2147,1578636489
JPN,MEX,Directed,6956,896516966
NLD,BEL,Directed,1021,1473124464
NLD,GBR,Directed,11786,1493763595
DEU,GBR,Directed,11725,1425949817
DEU,NLD,Directed,7228,1369509018
NLD,FRA,Directed,7221,1342741948
NLD,ITA,Directed,7255,1337309933
USA,BEL,Directed,12009,1193794028
BEL,NLD,Directed,1020,1253422038
FRA,BEL,Directed,953,1224968024
DEU,ESP,Directed,10088,1183555401
DEU,AUT,Directed,483,1119864324
DEU,POL,Directed,8177,1103869172
IND,CHN,Directed,2052,1020759817
BEL,CHN,Directed,1977,775887483
SAU,BEL,Directed,9102,1008543639
ITA,DEU,Directed,5549,1019361825
USA,ISR,Directed,5465,652535715
SGP,MYS,Directed,9502,969482786
FRA,GBR,Directed,11720,904655796
FRA,ESP,Directed,10083,890649611
ITA,FRA,Directed,5543,876980055
ARG,BRA,Directed,1255,856378218
ESP,FRA,Directed,10082,817363989
ESP,ITA,Directed,10112,795340544
SAU,SGP,Directed,9201,615977740
DEU,CHE,Directed,10569,793020702
BEL,ESP,Directed,1071,788447943
KOR,RUS,Directed,8694,763603682
GBR,BEL,Directed,1097,679687965
USA,JPN,Directed,12107,709365555
DEU,TUR,Directed,11239,766303484
