Source,Target,Type,ID,Weight
KOR,CHN,Directed,2181,11257462343
SGP,CHN,Directed,10575,7924735791
SAU,CHN,Directed,2191,7127921314
USA,MEX,Directed,7592,8139010504
CAN,USA,Directed,1849,7932376618
USA,CAN,Directed,1850,6313318537
BEL,DEU,Directed,822,5331337142
THA,CHN,Directed,2226,5141110186
MYS,CHN,Directed,7160,5288559582
IRN,CHN,Directed,2090,2615541518
SAU,SGP,Directed,10704,4857609389
USA,CHN,Directed,2250,4348999987
JPN,CHN,Directed,2100,3916785481
NLD,DEU,Directed,4323,4112590549
ARE,CHN,Directed,2242,1869391964
DEU,ITA,Directed,5908,2982030892
BEL,FRA,Directed,815,2725301917
USA,BEL,Directed,13236,2503756154
SAU,TUR,Directed,12606,2439671148
DEU,FRA,Directed,3902,2088459793
SAU,MYS,Directed,7291,2232902065
FRA,DEU,Directed,3901,2227842007
DEU,POL,Directed,8923,2136319958
KOR,VNM,Directed,9640,2108965513
NLD,BEL,Directed,895,2059972939
USA,BRA,Directed,13246,1924573359
IND,CHN,Directed,2086,1940268905
BEL,ITA,Directed,851,1945871340
CHN,VNM,Directed,2256,1719407722
FRA,ITA,Directed,5902,1882081113
SGP,IDN,Directed,10625,1824023620
SAU,ARE,Directed,10309,1855169845
KOR,IND,Directed,5260,1846033999
CHN,IND,Directed,2085,1742511428
BEL,GBR,Directed,978,1703179110
DEU,NLD,Directed,7935,1560507114
DEU,BEL,Directed,823,1536724250
BEL,NLD,Directed,7868,1649779271
USA,MYS,Directed,7342,1521046385
SAU,BEL,Directed,10141,1543664685
SAU,EGY,Directed,10177,1543265605
SGP,IND,Directed,5279,1479390023
POL,DEU,Directed,4346,1468111680
SGP,VNM,Directed,10748,1198853015
MEX,USA,Directed,13374,1404106725
KOR,TUR,Directed,9623,1410623191
NLD,GBR,Directed,13046,1360497921
ESP,FRA,Directed,4036,1349775615
SAU,IND,Directed,10203,1266012985
THA,JPN,Directed,6265,1315822227
QAT,CHN,Directed,2179,1270048092
USA,SGP,Directed,13436,1252075075
DEU,GBR,Directed,12975,1168579386
SAU,VNM,Directed,13663,1148560245
SGP,MYS,Directed,10655,1186046092
KOR,USA,Directed,9635,1260203464
NLD,FRA,Directed,3972,1230471105
ARE,IND,Directed,5320,790595051
BEL,POL,Directed,914,1132800054
NLD,ITA,Directed,5973,1218434342
JPN,IND,Directed,5188,1213588921
THA,IDN,Directed,5497,1184097897
THA,VNM,Directed,12257,1182710093
USA,VNM,Directed,13486,1172078613
DEU,CZE,Directed,2832,1043855728
DEU,CHN,Directed,2069,978186294
BEL,TUR,Directed,970,1041349922
CHN,KOR,Directed,2180,1116771606
FRA,BEL,Directed,816,1099858421
MYS,IDN,Directed,7209,1075584833
DEU,ESP,Directed,11328,960885215
ESP,ITA,Directed,6026,1090788179
ITA,DEU,Directed,4279,1087150369
DEU,AUT,Directed,378,980424532
USA,COL,Directed,13266,1037623675
MYS,VNM,Directed,7345,839607558
USA,KOR,Directed,13416,950720759
SAU,PAK,Directed,8551,906142211
FRA,ESP,Directed,11320,912387166
BEL,ESP,Directed,950,878535152
IDN,CHN,Directed,2088,872836371
ESP,PRT,Directed,9231,888624820
CHN,IDN,Directed,2087,883648835
CHN,THA,Directed,2225,831940785
CHN,MYS,Directed,2126,807830481
USA,IND,Directed,13330,870159661
NLD,POL,Directed,8022,822978454
RUS,BLR,Directed,703,828951230
THA,IND,Directed,5305,805653897
DEU,USA,Directed,13310,707259622
KOR,JPN,Directed,6235,811356468
DEU,TUR,Directed,12494,742409815
PRT,ESP,Directed,9230,757343961
BEL,CHN,Directed,1995,719776941
KOR,IDN,Directed,9503,770712751
CHN,RUS,Directed,9895,762142094
CHN,USA,Directed,2249,740828709
AUT,DEU,Directed,4175,662951079
SAU,JOR,Directed,10214,687217075
VNM,CHN,Directed,2257,621152420
ESP,DEU,Directed,11327,745714378
USA,TUR,Directed,12656,738295487
KOR,ITA,Directed,9512,729851680
COL,BRA,Directed,2274,713411152
DEU,RUS,Directed,9920,619477033
SGP,THA,Directed,10725,620400975
EGY,TUR,Directed,3396,691590521
USA,PER,Directed,13406,663902500
SAU,DZA,Directed,10126,343120317
KWT,CHN,Directed,2108,654799763
CHN,JPN,Directed,2099,642988412
FRA,GBR,Directed,4063,673209897
CAN,CHN,Directed,2015,568771398
USA,NLD,Directed,13384,604595427
DEU,CHE,Directed,11812,622034356
NLD,ESP,Directed,11400,560737081
KOR,MEX,Directed,7570,594764865
GBR,BEL,Directed,979,610428135
ITA,FRA,Directed,3930,607483383
SAU,BGD,Directed,10139,303225724
USA,ECU,Directed,3234,517544774
DEU,HUN,Directed,4891,531976029
BRA,ARG,Directed,1140,584616231
MYS,THA,Directed,7321,538088819
CZE,DEU,Directed,2831,568718195
USA,CHL,Directed,13262,559048389
