Source,Target,Type,ID,Weight
ABW,USA,directed,301,1760
USA,MEX,directed,7008,16621436318
KOR,CHN,directed,2141,5569530239
JPN,CHN,directed,2068,4334422509
ARE,USA,directed,11637,13990363
KOR,CHN,directed,8574,3603087384
USA,CAN,directed,12028,3055050667
USA,CAN,directed,1857,3018296788
THA,CHN,directed,2172,2697586424
USA,MEX,directed,12134,2474562862
USA,CHN,directed,2194,2283586157
SGP,CHN,directed,2153,2252224167
BEL,DEU,directed,958,2161424251
JPN,CHN,directed,5754,2114771618
BEL,DEU,directed,3926,1810016819
NLD,DEU,directed,7227,1664168489
DEU,ITA,directed,5550,1643959927
DEU,ITA,directed,4033,1599211837
NLD,DEU,directed,4075,1554625492
SGP,CHN,directed,9439,1403497515
DEU,FRA,directed,3643,1400161818
DEU,FRA,directed,3997,1393990837
BEL,FRA,directed,952,1386279981
MYS,CHN,directed,2094,1359244936
BEL,ITA,directed,983,1171233071
BEL,ITA,directed,5493,1126823190
BEL,FRA,directed,3576,1117393038
FRA,DEU,directed,3998,1110363250
USA,CHN,directed,12035,1099366290
DEU,BEL,directed,959,1092158354
KOR,MEX,directed,6979,1090967451
FRA,DEU,directed,3642,1084231600
THA,CHN,directed,10827,1053444656
FRA,ITA,directed,5544,1041236426
DEU,CHN,directed,2037,985510599
FRA,ITA,directed,3666,948464200
DEU,BEL,directed,3925,896904600
BEL,GBR,directed,1096,895562855
SAU,CHN,directed,2147,887273489
JPN,MEX,directed,6956,878663450
BEL,GBR,directed,11668,826566936
NLD,BEL,directed,1021,811946623
NLD,GBR,directed,11786,752403865
NLD,GBR,directed,7362,741359730
DEU,GBR,directed,11725,738069117
DEU,NLD,directed,7228,713199118
SAU,CHN,directed,9112,691363000
DEU,GBR,directed,4166,687880700
NLD,FRA,directed,7221,677249700
MYS,CHN,directed,6582,673350407
NLD,ITA,directed,7255,671074436
NLD,ITA,directed,5610,666235497
NLD,FRA,directed,3705,665492248
NLD,BEL,directed,7167,661177841
DEU,NLD,directed,4074,656309900
USA,BEL,directed,12009,654186616
BEL,NLD,directed,1020,633291842
BEL,NLD,directed,7168,620130196
FRA,BEL,directed,953,619670124
DEU,ESP,directed,10088,618057301
FRA,BEL,directed,3575,605297900
DEU,AUT,directed,483,576191724
DEU,ESP,directed,4132,565498100
DEU,POL,directed,8177,562311372
IND,CHN,directed,2052,556429650
DEU,AUT,directed,3916,543672600
DEU,POL,directed,4096,541557800
USA,BEL,directed,1101,539607412
BEL,CHN,directed,1977,533012744
SAU,BEL,directed,9102,529795000
ITA,DEU,directed,5549,525993519
USA,ISR,directed,5465,518144623
SGP,MYS,directed,9502,513057872
ITA,DEU,directed,4034,493368306
SAU,BEL,directed,1058,478748639
FRA,GBR,directed,11720,467375996
IND,CHN,directed,4735,464330167
SGP,MYS,directed,6677,456424914
FRA,ESP,directed,10083,456205317
ITA,FRA,directed,5543,439952939
FRA,GBR,directed,3785,437279800
ITA,FRA,directed,3667,437027116
FRA,ESP,directed,3757,434444294
ARG,BRA,directed,1255,429001339
ARG,BRA,directed,119,427376879
ESP,FRA,directed,10082,424195451
ESP,ITA,directed,10112,405467511
SAU,SGP,directed,9201,402556000
DEU,CHE,directed,10569,402489502
BEL,ESP,directed,1071,401183065
KOR,RUS,directed,8694,394845903
DEU,CHN,directed,3953,394421455
ESP,FRA,directed,3758,393168538
GBR,BEL,directed,1097,391700210
USA,JPN,directed,12107,391418189
DEU,CHE,directed,4140,390531200
ESP,ITA,directed,5659,389873033
DEU,TUR,directed,11239,388840984
BEL,ESP,directed,10032,387264878
PRT,ESP,directed,10168,386685581
NLD,CHN,directed,2114,386496096
BEL,TUR,directed,1087,377512588
DEU,TUR,directed,4155,377462500
KOR,RUS,directed,9004,368757779
BRA,ARG,directed,1254,357772269
BRA,ARG,directed,120,355019651
PRT,ESP,directed,8408,354888764
