USA,CAN,directed,30880,124042675
USA,CAN,directed,13117,122557742
KOR,CHN,directed,18179,117587924
DEU,ROU,directed,37744,101504604
DEU,FRA,directed,3176,101099776
CAN,USA,directed,892,96832314
CAN,USA,directed,41069,96700555
KOR,CHN,directed,42281,88712594
DEU,NLD,directed,36122,88179138
DEU,NLD,directed,3220,87771628
BEL,DEU,directed,33017,82372552
DEU,GBR,directed,3260,74201216
DEU,ROU,directed,3495,67713327
ITA,DEU,directed,33037,63272928
NLD,DEU,directed,7464,62244174
NLD,DEU,directed,33043,62088352
BEL,NLD,directed,36113,59997680
DEU,ITA,directed,3195,58264080
JPN,CHN,directed,16806,58048001
KOR,USA,directed,18226,55767921
KOR,USA,directed,47598,53551977
USA,CHN,directed,31481,51674808
CAN,USA,directed,731,49617485
CAN,USA,directed,40956,49442502
JPN,CHN,directed,42279,48898524
ITA,CHN,directed,42278,47966280
DEU,BEL,directed,3141,45566448
JPN,USA,directed,41086,44294522
JPN,USA,directed,6008,43290894
UKR,ROU,directed,45700,42992000
DEU,FRA,directed,3323,41006572
USA,CAN,directed,13231,40939232
DEU,CHE,directed,39772,40601545
USA,CAN,directed,13396,40504620
USA,CAN,directed,30902,40262280
DEU,CHE,directed,3249,40218958
USA,MEX,directed,35721,40185053
USA,CAN,directed,30944,39739110
USA,CAN,directed,12921,39387396
USA,CAN,directed,30826,39063892
USA,MEX,directed,12857,39033782
DEU,ITA,directed,15366,38413700
FRA,DEU,directed,33029,37936256
USA,MEX,directed,35788,36895414
USA,CHN,directed,20404,36770714
KOR,CHN,directed,8789,36028229
AUT,DEU,directed,33015,36015320
USA,MEX,directed,13169,34251351
NLD,DEU,directed,7578,34045732
NLD,DEU,directed,33093,33833520
ITA,DEU,directed,43320,33531072
CAN,USA,directed,978,31989169
CAN,USA,directed,41186,31945837
KOR,USA,directed,8857,31939424
KOR,USA,directed,41087,31841828
DEU,NLD,directed,3370,31771227
USA,MEX,directed,35821,31544585
DEU,GBR,directed,3605,31503400
DEU,NLD,directed,36216,31096358
DEU,NLD,directed,3577,30652688
DEU,GBR,directed,2770,30349898
DEU,FRA,directed,3549,30344584
DEU,NLD,directed,36162,29569778
DEU,ITA,directed,3344,29311700
USA,MEX,directed,13277,28681217
USA,CAN,directed,12810,28626103
NLD,BEL,directed,7438,28518368
USA,CAN,directed,30810,28312608
DEU,BEL,directed,3528,28241464
CHE,DEU,directed,11512,27920126
ITA,DEU,directed,32988,27880800
CHE,DEU,directed,33057,27660207
DEU,AUT,directed,3137,27450508
USA,CHN,directed,13121,27153835
CHE,DEU,directed,33106,26574643
CHE,DEU,directed,11605,26345125
USA,CAN,directed,20448,26021937
USA,CAN,directed,41998,25519809
NLD,FRA,directed,7461,25346196
ITA,ESP,directed,38831,24957232
KOR,CHN,directed,9208,24725695
JPN,CHN,directed,5931,24679163
DEU,USA,directed,41080,24535481
DEU,ESP,directed,38825,24416783
CAN,USA,directed,14288,24255842
CAN,USA,directed,47586,24250514
DEU,ESP,directed,3245,24197521
NLD,GBR,directed,7534,23802728
IRL,GBR,directed,16514,23617936
ITA,NLD,directed,36128,23613360
USA,JPN,directed,13157,23595688
USA,BEL,directed,13109,23364492
DEU,USA,directed,3262,23090860
ITA,DEU,directed,33165,22933048
KOR,PAK,directed,18205,22898944
DEU,BEL,directed,3284,22877424
GBR,NLD,directed,36148,22770526
DEU,DNK,directed,32241,22714737
DEU,DNK,directed,3168,22657388
CAN,USA,directed,925,22648694
ITA,DEU,directed,32913,22641986
GBR,DEU,directed,33061,22471234
MEX,USA,directed,6974,22145792
JPN,KOR,directed,5956,21921374
BEL,DEU,directed,33068,21745624
MEX,USA,directed,41090,21731684
USA,CAN,directed,27827,21510885
CAN,USA,directed,41113,21502693
JPN,KOR,directed,37452,21365713
KOR,CHN,directed,17986,21296850
USA,JPN,directed,35061,21207853
USA,MEX,directed,27866,20882814
USA,MEX,directed,20481,20849103
KOR,IDN,directed,18190,20820340
NLD,DEU,directed,43325,20778078
KOR,IDN,directed,44009,20609723
NLD,DEU,directed,17369,20514617
CAN,USA,directed,680,20251893
CAN,USA,directed,40935,20249546
ITA,CHN,directed,42241,20197999
KOR,CHN,directed,8997,19980390
BEL,DEU,directed,32942,19910000
DEU,FRA,directed,2707,19904000
THA,CHN,directed,12137,19769331
DEU,AUT,directed,3278,19760224
JPN,DEU,directed,33038,19751036
USA,MEX,directed,44704,19519204
DEU,GBR,directed,3418,19408562
JPN,DEU,directed,5943,19118316
JPN,KOR,directed,45587,19014680
CHE,ITA,directed,11716,18851552
JPN,KOR,directed,16823,18815608
GBR,USA,directed,41105,18767836
CAN,USA,directed,831,18638802
CAN,USA,directed,41033,18630444
NLD,BEL,directed,7186,18619366
USA,CAN,directed,48410,18356427
BEL,NLD,directed,36154,18304972
ESP,DZA,directed,41420,18275700
USA,MEX,directed,35760,18269433
FRA,NLD,directed,36121,18266632
DEU,RUS,directed,3236,17800348
JPN,CHN,directed,16781,17776864
DEU,FRA,directed,2817,17760838
AUT,DEU,directed,33067,17661552
USA,CAN,directed,13012,17620818
DEU,USA,directed,3420,17604013
JPN,IDN,directed,16816,17229361
JPN,IDN,directed,44008,17170865
USA,CAN,directed,30851,17108100
USA,DEU,directed,33062,16902069
MYS,CHN,directed,31454,16782106
USA,DEU,directed,13138,16702029
SWE,GBR,directed,10935,16668000
DEU,CHN,directed,42274,16502603
USA,MEX,directed,51313,16472261
DEU,ITA,directed,22522,16383699
DEU,ITA,directed,3559,16151631
FRA,DEU,directed,33078,15915584
DEU,FRA,directed,22508,15869800
USA,BEL,directed,13391,15765413
BEL,ESP,directed,38813,15643483
CAN,USA,directed,772,15619088
CAN,USA,directed,41002,15603503
ITA,DEU,directed,33085,15445061
USA,GBR,directed,13208,15430828
USA,MEX,directed,13057,15268976
DEU,USA,directed,41123,15257601
MEX,USA,directed,6994,15130613
CAN,CHN,directed,14267,15106194
MYS,IDN,directed,16990,15078079
IRL,GBR,directed,5550,15001600
MYS,IDN,directed,44010,14961089
MEX,USA,directed,17138,14833849
ITA,TUR,directed,47358,14789271
DEU,NLD,directed,2860,14787196
DEU,NLD,directed,36027,14779120
DEU,CHE,directed,3407,14749682
KOR,JPN,directed,35045,14726200
KOR,JPN,directed,8814,14701646
USA,AUS,directed,13103,14562244
NLD,BEL,directed,7551,14438991
DEU,AUT,directed,2782,14340634
DEU,ITA,directed,15420,14322722
USA,AUS,directed,30010,14198414
DEU,CHE,directed,39803,14138131
JPN,RUS,directed,5990,13902190
MEX,USA,directed,47600,13845860
NLD,DEU,directed,49928,13817861
GBR,USA,directed,41221,13783540
BEL,NLD,directed,35998,13760304
KOR,CHN,directed,8643,13760293
JPN,IDN,directed,6179,13749212
JPN,IDN,directed,34565,13743422
DEU,ESP,directed,38910,13689368
GBR,IRL,directed,34745,13670557
AUT,DEU,directed,32894,13506512
DEU,ESP,directed,3594,13367985
NLD,DEU,directed,24459,13328491
KOR,SGP,directed,52791,13246662
FRA,ESP,directed,38824,13137889
IRL,DEU,directed,43319,13019329
BEL,USA,directed,54546,12995718
DEU,ESP,directed,46363,12843528
MEX,USA,directed,41135,12790413
THA,CHN,directed,19690,12768229
IRL,DEU,directed,16494,12766887
KOR,CHN,directed,42308,12753646
KOR,CHN,directed,18232,12653983
KOR,IDN,directed,9015,12462480
KOR,IDN,directed,34567,12446902
NLD,ITA,directed,7476,12416404
KOR,IDN,directed,18157,12208534
DEU,BEL,directed,2785,12007146
JPN,CHN,directed,16854,11987698
KOR,IDN,directed,43991,11860593
USA,NGA,directed,13176,11765525
DEU,NLD,directed,36001,11711386
DEU,NLD,directed,2735,11710005
ESP,DZA,directed,18865,11596197
MEX,CHN,directed,17145,11530665
ITA,ESP,directed,46366,11408725
DEU,CHE,directed,39692,11359908
DEU,CHE,directed,2895,11358446
ITA,CHN,directed,42306,11335772
FRA,DEU,directed,32951,11212601
DEU,SWE,directed,39414,11064990
ESP,FRA,directed,10265,11034767
DNK,SWE,directed,2052,11001390
DNK,SWE,directed,39410,10967658
USA,PHL,directed,12874,10900074
DEU,DNK,directed,32313,10867844
DEU,SWE,directed,3248,10862588
CHE,GBR,directed,11745,10836013
MEX,USA,directed,17160,10829475
CHE,AUT,directed,11581,10821064
DEU,ITA,directed,2834,10820709
ESP,ITA,directed,18887,10815253
JPN,CHN,directed,16744,10745955
USA,NLD,directed,13172,10727616
DEU,DNK,directed,3544,10701606
DEU,AUT,directed,2683,10655788
JPN,THA,directed,47052,10643364
JPN,THA,directed,16844,10618484
JPN,CHN,directed,42307,10595162
JPN,CHN,directed,42242,10576585
JPN,IRN,directed,16817,10518152
JPN,CHN,directed,6164,10469996
USA,CHN,directed,42268,10467031
NLD,DEU,directed,32920,10461263
NLD,DEU,directed,7211,10452987
SWE,DEU,directed,10887,10412486
USA,NLD,directed,36149,10385805
MEX,CHN,directed,42310,10359208
ESP,FRA,directed,10186,10340215
SWE,DEU,directed,33056,10335269
USA,NLD,directed,20421,10227755
GBR,DEU,directed,33188,10183782
MEX,USA,directed,6919,10096946
JPN,MYS,directed,16824,10048914
DNK,DEU,directed,2021,10040860
TUR,SYR,directed,12638,10004513
BEL,NLD,directed,36207,9925287
ITA,CHE,directed,39777,9916921
BEL,DEU,directed,43306,9899000
MEX,USA,directed,40980,9875715
IDN,KOR,directed,52191,9871449
USA,KOR,directed,37544,9861785
DEU,BEL,directed,2686,9828702
JPN,USA,directed,47597,9827775
DNK,DEU,directed,33027,9788658
JPN,USA,directed,16848,9788529
USA,KOR,directed,13477,9760266
DEU,RUS,directed,3588,9760187
SWE,FRA,directed,10885,9759000
BEL,NLD,directed,36018,9751724
MYS,CHN,directed,16989,9726896
THA,CHN,directed,42295,9627817
GBR,DEU,directed,32969,9587187
DEU,ESP,directed,38717,9535177
DEU,ESP,directed,2758,9506661
DEU,TUR,directed,47352,9451999
DNK,DEU,directed,43313,9432650
CHE,DEU,directed,11314,9401916
IRL,GBR,directed,5496,9383905
CHE,DEU,directed,32933,9379364
USA,AUS,directed,13387,9318328
ITA,NLD,directed,36222,9293555
NOR,SWE,directed,39428,9277000
DEU,NLD,directed,44890,9224059
JPN,USA,directed,6097,9205463
BEL,USA,directed,41067,9202434
DEU,FRA,directed,3039,9182375
USA,CHN,directed,42299,9137905
DNK,GBR,directed,2135,9127139
ITA,NLD,directed,36168,9105522
DEU,ESP,directed,15439,9086352
DEU,ESP,directed,3403,9064480
USA,ESP,directed,38940,9063896
USA,AUS,directed,30093,9029038
USA,ESP,directed,13447,8962796
DEU,CHN,directed,15349,8913987
JPN,MYS,directed,44520,8873482
KOR,SGP,directed,25186,8843218
DEU,GBR,directed,22585,8749199
NLD,DEU,directed,32994,8736895
DEU,ESP,directed,38861,8712553
MYS,THA,directed,47054,8704922
DEU,CHN,directed,42239,8660425
KOR,VNM,directed,18216,8656136
MYS,THA,directed,16997,8618634
