Source,Target,Type,Id,Weight
KOR,CHN,Directed,23734,2839666575
JPN,CHN,Directed,15783,2196444256
USA,CHN,Directed,36718,1902739475
USA,MEX,Directed,116076,1673244677
CAN,USA,Directed,5179,1634039226
USA,CAN,Directed,36714,1632903119
DEU,GBR,Directed,132471,1502556774
CHN,PHL,Directed,120131,1085300490
CHN,VNM,Directed,179405,940065388
CHN,USA,Directed,133578,927113205
DEU,FRA,Directed,10820,919141066
DEU,NLD,Directed,10879,795949845
KOR,USA,Directed,156624,738977190
DEU,CHN,Directed,10797,738268690
DEU,POL,Directed,10895,724122094
THA,CHN,Directed,31576,571191617
ITA,GBR,Directed,178339,569313425
BEL,FRA,Directed,2659,552144910
NLD,DEU,Directed,19836,545949353
BEL,DEU,Directed,2663,520041148
MEX,USA,Directed,19109,495481315
DEU,BEL,Directed,96396,491704194
DEU,CZE,Directed,101797,480696739
CHN,KHM,Directed,160292,479208354
DEU,CHE,Directed,10922,461323048
DEU,AUT,Directed,10772,460689986
CHN,KOR,Directed,121792,457543569
DEU,RUS,Directed,123117,434222669
ITA,FRA,Directed,105471,431006659
ITA,DEU,Directed,106765,421460981
BEL,NLD,Directed,117248,419909626
FRA,DEU,Directed,9414,401029144
NLD,BEL,Directed,19797,392988301
ESP,FRA,Directed,28620,391595741
DEU,ITA,Directed,10841,383402737
CHN,TUR,Directed,130648,375064415
CHN,IND,Directed,109429,363968506
CHN,LKA,Directed,61802,356690643
CHN,BGD,Directed,95480,351732164
FRA,BEL,Directed,9375,350559258
BEL,GBR,Directed,2743,348653481
MYS,CHN,Directed,18120,336902770
CHN,THA,Directed,129480,335753401
CHN,IDN,Directed,109994,333552987
DEU,ESP,Directed,10918,329831498
KOR,JPN,Directed,111214,318265816
CHN,ARE,Directed,155417,311899933
ITA,ESP,Directed,127085,302934419
AUT,DEU,Directed,1150,296415727
DEU,USA,Directed,10939,291434560
JPN,KOR,Directed,16015,272473027
FRA,ESP,Directed,127076,269574572
CHN,JPN,Directed,111105,265723183
CHN,BRA,Directed,97684,265636913
FRA,GBR,Directed,132470,252210442
IDN,CHN,Directed,14443,250433037
PRT,ESP,Directed,23387,247153792
CHE,DEU,Directed,106871,247074998
DEU,TUR,Directed,130719,235501277
GBR,IRL,Directed,34924,235216014
JPN,USA,Directed,133604,224790283
CHN,PAK,Directed,41585,220783085
USA,GBR,Directed,178369,218568130
CHN,RUS,Directed,123033,218437431
CZE,DEU,Directed,63451,214209536
ARE,IRN,Directed,56828,212854409
NLD,FRA,Directed,19501,211707682
GBR,DEU,Directed,35323,210546347
MYS,JPN,Directed,18246,209998999
DEU,DNK,Directed,102321,205809703
CHN,ZAF,Directed,126391,195882429
ESP,PRT,Directed,121327,195265731
NLD,GBR,Directed,132491,194830388
CHN,MEX,Directed,115582,193285597
THA,VNM,Directed,55432,190080145
IDN,JPN,Directed,111171,188643820
IDN,BRA,Directed,97772,180540659
TUR,RUS,Directed,33408,180105706
THA,IDN,Directed,31761,180075275
BRA,ARG,Directed,93407,178642572
KOR,VNM,Directed,157002,175493813
GBR,FRA,Directed,35319,169740469
POL,DEU,Directed,22486,168548375
SAU,ARE,Directed,132083,168464249
SGP,CHN,Directed,26258,167673245
KOR,RUS,Directed,150962,166180749
CHN,UKR,Directed,131301,165962520
DEU,ROU,Directed,122559,164973517
ITA,CHN,Directed,100297,162955745
POL,RUS,Directed,22746,158993903
DEU,UKR,Directed,131307,155800094
IDN,USA,Directed,156620,155776867
CHN,DEU,Directed,106748,153888187
IND,ARE,Directed,14088,153308277
CHN,GBR,Directed,132363,151270993
USA,BEL,Directed,36703,151036861
DEU,HUN,Directed,10834,150215960
FRA,CHN,Directed,9128,146017900
ESP,DEU,Directed,28624,142494387
SYR,SAU,Directed,31247,140274406
POL,UKR,Directed,22897,140200231
IND,BRA,Directed,97916,139133880
IRL,GBR,Directed,47036,138709301
CHN,MYS,Directed,114292,137973735
ITA,BEL,Directed,96403,137471031
DEU,SWE,Directed,10921,136293800
FRA,ITA,Directed,9428,135673038
KOR,DEU,Directed,142569,135653276
MYS,TUR,Directed,130867,134235548
BLR,RUS,Directed,38682,132533963
IND,USA,Directed,156631,130700478
IND,SYR,Directed,14043,128736164
IDN,TUR,Directed,130751,128677132
CHN,EGY,Directed,103373,127443786
THA,USA,Directed,156636,127104608
CHN,AUS,Directed,94004,124920225
USA,DEU,Directed,106811,123744096
ESP,ITA,Directed,28638,122822645
SVK,CZE,Directed,26749,122225732
ITA,NLD,Directed,117268,119959671
SWE,DEU,Directed,29780,119163434
ARE,IRQ,Directed,56838,119007807
GBR,USA,Directed,133642,118944732
IND,TUR,Directed,130971,118580430
TUR,ROU,Directed,33406,118364857
BEL,ESP,Directed,127060,118089596
FRA,NLD,Directed,117260,115887518
CHN,ITA,Directed,41560,115072634
LUX,FRA,Directed,105356,112548920
ESP,GBR,Directed,28699,111290112
TUR,UKR,Directed,33679,111217007
GBR,NLD,Directed,35367,110208656
ITA,SVK,Directed,125575,110060965
BEL,ITA,Directed,144736,109739140
DEU,SVK,Directed,125530,109315088
CHN,CAN,Directed,99314,108964447
JPN,THA,Directed,48584,108024609
ITA,TUR,Directed,177333,106759468
CHN,SGP,Directed,125061,106310841
CZE,SVK,Directed,6765,106159817
DNK,DEU,Directed,7124,105773186
USA,JPN,Directed,36910,103454231
ITA,POL,Directed,120631,103062381
KOR,IDN,Directed,51700,101578923
KOR,TUR,Directed,130832,100840601
UKR,RUS,Directed,34011,99607300
POL,CZE,Directed,22400,99412580
BEL,POL,Directed,120403,99021880
MYS,SGP,Directed,125219,98507980
KOR,GBR,Directed,156013,95823651
THA,JPN,Directed,111339,95761393
GBR,CHN,Directed,35443,95584886
IND,EGY,Directed,103392,95408348
ARG,BRA,Directed,97,93548928
FRA,POL,Directed,120526,93427323
THA,MYS,Directed,31915,92198352
LUX,BEL,Directed,17649,92053804
BEL,RUS,Directed,2449,91849126
BRA,USA,Directed,133572,91680478
NLD,CHN,Directed,19811,90305989
SWE,NOR,Directed,30018,90279595
CHN,SAU,Directed,62439,88980542
CHN,ESP,Directed,127243,87631122
IRL,DEU,Directed,142566,86964861
MYS,SYR,Directed,18462,86764576
SVN,KWT,Directed,167941,84036106
DEU,FIN,Directed,10819,83754578
CZE,POL,Directed,6673,83236482
GBR,ESP,Directed,35401,82909273
MYS,AUS,Directed,18020,82329261
TUR,ITA,Directed,144774,82057033
MYS,VNM,Directed,18421,81990503
RUS,KAZ,Directed,25276,81930816
USA,BRA,Directed,36707,81673875
USA,AUS,Directed,94401,81272474
USA,NLD,Directed,36785,80896395
THA,PHL,Directed,32070,80770128
DEU,GRC,Directed,10828,80037444
TUR,GBR,Directed,33723,80036316
IDN,MYS,Directed,46518,79313941
ITA,ROU,Directed,122640,78395982
ITA,GRC,Directed,107614,77926853
CHN,KGZ,Directed,167996,77739826
GBR,POL,Directed,35830,77302299
PRT,FRA,Directed,23124,77255670
SWE,DNK,Directed,29699,76581767
USA,KOR,Directed,36764,75882951
KOR,BRA,Directed,23643,75538974
ITA,CHE,Directed,128693,75401108
BEL,USA,Directed,2473,74985814
MYS,IDN,Directed,18208,74778398
IDN,THA,Directed,14675,74708010
KOR,ARE,Directed,52088,74693803
ITA,AUT,Directed,94640,74365021
DEU,LTU,Directed,113469,74267511
FRA,USA,Directed,9227,73970374
FIN,DEU,Directed,106689,73966771
AUT,FRA,Directed,1124,73932544
CHE,FRA,Directed,30529,73744847
THA,TUR,Directed,131058,73103420
DNK,SWE,Directed,7511,72788886
JPN,DEU,Directed,15869,72785469
BEL,CZE,Directed,101675,72598597
TUR,DEU,Directed,106806,72525157
VNM,CHN,Directed,37674,72214026
IDN,KOR,Directed,14638,72159863
MYS,THA,Directed,18466,72005197
POL,LTU,Directed,22618,71668604
KOR,ITA,Directed,144752,71389260
HUN,ROU,Directed,122590,70919907
ISR,USA,Directed,15568,70737497
NLD,ESP,Directed,127100,70167774
FIN,SWE,Directed,8781,70072846
TUR,ESP,Directed,127121,69150423
TUR,BEL,Directed,96564,68807579
CHN,FRA,Directed,105342,68685342
KOR,ESP,Directed,52029,68493865
JPN,IDN,Directed,48336,68430347
TUR,BGR,Directed,98600,68418477
ITA,CZE,Directed,101879,68252865
GBR,BEL,Directed,96438,67501700
SYR,DZA,Directed,54785,66716451
TUR,USA,Directed,156637,66186274
CHN,MAR,Directed,147382,65736796
CHN,POL,Directed,120439,65700288
DEU,PRT,Directed,10896,65672067
USA,SGP,Directed,125372,65329963
USA,HND,Directed,37082,65165290
TTO,GRD,Directed,32414,64534466
NLD,USA,Directed,20033,64429281
THA,BRA,Directed,31486,63707357
TUR,POL,Directed,76568,63420393
CHN,CHL,Directed,41534,63261489
KOR,MEX,Directed,147144,63150641
THA,BGD,Directed,136438,63114741
BEL,CHN,Directed,2643,62090985
KOR,AUS,Directed,51393,62023994
ITA,USA,Directed,133601,61920267
TUR,KAZ,Directed,111680,61641849
CHN,MDG,Directed,113945,61372942
ITA,RUS,Directed,123176,61060369
IDN,ITA,Directed,14634,60644742
DEU,BGR,Directed,98313,60508534
RUS,UKR,Directed,25477,60151623
CHN,VEN,Directed,134200,59569924
AUT,CZE,Directed,101668,59233190
CHN,BEL,Directed,96520,59076686
RUS,BLR,Directed,96086,59055014
