DEU,DEU,102,171,273,1103051749,999312215,2102363964,2,0.047996,0.10774
KOR,KOR,46,130,176,38747081,650628193,689375274,0,0.012087,0.159869
USA,USA,28,30,58,517905708,480251063,998156771,1,0.007326,0.704301
CHN,CHN,24,29,53,63009280,263704307,326713587,0,0.005279,0.736782
BEL,BEL,27,29,56,114571849,236746697,351318546,2,0.00649,0.718391
THA,THA,52,137,189,57279452,222673613,279953065,0,0.011627,0.151183
ITA,ITA,26,30,56,66687060,219666260,286353320,2,0.006702,0.736782
NLD,NLD,26,29,55,236593204,202605198,439198402,2,0.006237,0.736782
JPN,JPN,76,153,229,395644129,188438343,584082472,0,0.022796,0.131271
DNK,DNK,75,127,202,128731012,186640622,315371634,2,0.022686,0.161194
FRA,FRA,27,30,57,222415757,159370637,381786394,2,0.007066,0.736782
CAN,CAN,79,122,201,302427548,155604938,458032486,1,0.025865,0.172353
MYS,MYS,57,90,147,62894321,130153996,193048317,0,0.017062,0.26683
CHE,CHE,82,146,228,266834176,127990216,394824392,2,0.025856,0.140467
SGP,SGP,67,109,176,156901492,118636798,275538290,0,0.019312,0.222392
IDN,IDN,42,89,131,24980892,115433494,140414386,0,0.015355,0.282906
ESP,ESP,91,138,229,161127124,98350804,259477928,2,0.04245,0.143918
PRT,PRT,59,97,156,51255338,94676546,145931884,2,0.018749,0.230489
GBR,GBR,26,30,56,205595524,69454765,275050289,2,0.005933,0.736782
AUT,AUT,22,28,50,83562409,67702868,151265277,2,0.004873,0.770936
TUR,TUR,47,74,121,18660875,55269640,73930515,2,0.010676,0.325008
MEX,MEX,76,62,138,224952032,47964999,272917031,1,0.035014,0.261427
FIN,FIN,65,107,172,73084034,46317981,119402015,3,0.015589,0.202441
IND,IND,39,124,163,7558269,43761884,51320153,3,0.00813,0.180173
SWE,SWE,25,27,52,78394195,35796290,114190485,2,0.005762,0.784392
GRC,GRC,60,82,142,51513432,31720478,83233910,2,0.015706,0.262155
AUS,AUS,69,84,153,134710495,29464777,164175272,0,0.022809,0.237992
BRA,BRA,43,92,135,9186462,24324495,33510957,1,0.011187,0.233035
NZL,NZL,55,60,115,35280205,18202030,53482235,0,0.016647,0.333025
PHL,PHL,21,26,47,14257923,16206192,30464115,1,0.004649,0.864615
CSK,CSK,17,24,41,1708167,14462054,16170221,2,0.003912,0.783077
POL,POL,18,19,37,12235614,11948058,24183672,2,0.004015,0.909091
NOR,NOR,24,27,51,42042260,11393649,53435909,2,0.005473,0.804233
HUN,HUN,18,20,38,4525485,10941853,15467338,2,0.004081,0.883117
LKA,LKA,37,49,86,5836919,10554155,16391074,1,0.007794,0.468672
BGD,BGD,30,32,62,8646676,7792134,16438810,0,0.008692,0.607294
ROU,ROU,25,27,52,1921316,7393295,9314611,2,0.00541,0.629365
ISR,ISR,19,23,42,5891378,6281995,12173373,2,0.004126,0.851449
ARE,ARE,24,20,44,19461912,5990236,25452148,0,0.00583,0.896739
MAR,MAR,17,18,35,4819453,5973880,10793333,2,0.003568,0.907143
CYP,CYP,58,55,113,9846014,5524582,15370596,2,0.01483,0.379296
TUN,TUN,16,14,30,2198480,5350130,7548610,2,0.003496,0.880952
IRL,IRL,24,27,51,10399970,5305271,15705241,2,0.005473,0.784392
PAK,PAK,17,28,45,3261835,5042819,8304654,2,0.003668,0.752463
DDR,DDR,16,20,36,4488403,4220656,8709059,3,0.00404,0.815789
BGR,BGR,15,16,31,879440,2284575,3164015,2,0.00345,0.884211
ARG,ARG,17,16,33,1452345,1771306,3223651,4,0.004026,0.914286
VNM,VNM,10,9,19,757182,1691685,2448867,0,0.002699,0.984848
PRK,PRK,13,14,27,1749577,1591919,3341496,2,0.003437,0.869281
CHL,CHL,52,38,90,17252924,1517588,18770512,4,0.012942,0.394841
ISL,ISL,51,27,78,9428261,1370284,10798545,3,0.011579,0.520875
MLT,MLT,17,16,33,810566,1088645,1899211,2,0.003778,0.936842
SUN,SUN,22,16,38,40849601,1012802,41862403,3,0.005148,0.831522
OMN,OMN,41,11,52,9838106,1000571,10838677,0,0.009345,0.631243
COL,COL,17,14,31,309838,931325,1241163,1,0.004231,0.890476
PER,PER,12,12,24,838822,855777,1694599,4,0.003537,0.891667
FJI,FJI,13,4,17,1611161,815341,2426502,0,0.003105,0.987179
PAN,PAN,18,7,25,3228632,792739,4021371,0,0.004213,0.903509
HTI,HTI,7,10,17,28225,754857,783082,1,0.002309,0.910256
URY,URY,16,12,28,879261,699833,1579094,1,0.004049,0.922794
VEN,VEN,20,10,30,1237558,656531,1894089,1,0.004472,0.939474
BHR,BHR,19,9,28,1248906,568555,1817461,0,0.004646,0.907143
MUS,MUS,15,17,32,946739,557560,1504299,0,0.00385,0.909357
SAU,SAU,24,12,36,49492857,460591,49953448,0,0.00577,0.894928
EGY,EGY,20,14,34,3153599,264153,3417752,0,0.004163,0.928571
ALB,ALB,4,2,6,148169,210378,358547,2,0.001765,1
MDG,MDG,34,11,45,1200077,208293,1408370,0,0.006873,0.500711
MWI,MWI,26,10,36,777724,179522,957246,2,0.00699,0.595402
IRN,IRN,18,11,29,11542849,121637,11664486,0,0.004508,0.906433
ANT,ANT,16,3,19,965676,113296,1078972,0,0.003733,0.963235
GTM,GTM,15,12,27,786730,112612,899342,0,0.003834,0.912281
SYR,SYR,14,9,23,783325,110517,893842,0,0.003217,0.941667
DOM,DOM,15,6,21,1352057,90369,1442426,0,0.00386,0.963235
JOR,JOR,17,6,23,2059653,87894,2147547,0,0.003701,0.941176
CUB,CUB,13,5,18,2070640,86745,2157385,0,0.003395,0.955128
LAO,LAO,8,4,12,364976,79124,444100,0,0.002401,1
JAM,JAM,14,8,22,288623,75646,364269,0,0.003842,0.904412
KWT,KWT,19,10,29,5836325,60190,5896515,0,0.004027,0.942105
AGO,AGO,11,2,13,2639003,55020,2694023,0,0.002701,1
PNG,PNG,14,6,20,2572925,47211,2620136,0,0.003245,0.980952
LCA,LCA,5,2,7,77743,45595,123338,2,0.00198,1
ZWE,ZWE,12,8,20,311809,44279,356088,0,0.003406,0.903846
CRI,CRI,14,12,26,550233,42864,593097,1,0.003749,0.966912
PRY,PRY,31,8,39,7023705,40053,7063758,4,0.00728,0.597782
TZA,TZA,16,4,20,1544737,38031,1582768,0,0.004072,0.919118
KEN,KEN,18,14,32,1328219,31888,1360107,3,0.004373,0.830952
MMR,MMR,12,2,14,1185772,31141,1216913,0,0.002864,0.984848
NER,NER,9,2,11,22522,26991,49513,1,0.0025,1
SLV,SLV,8,9,17,181682,26029,207711,0,0.002737,1
LBN,LBN,19,9,28,1506864,25957,1532821,0,0.003967,0.942857
AND,AND,9,4,13,1286973,23302,1310275,2,0.002417,1
IRQ,IRQ,18,2,20,2799432,21518,2820950,2,0.004077,0.944444
NGA,NGA,18,3,21,3534234,20289,3554523,0,0.003857,0.960784
BRN,BRN,10,5,15,2807657,18857,2826514,0,0.002824,1
ECU,ECU,14,8,22,667275,18833,686108,0,0.00372,0.985714
FRO,FRO,6,5,11,676101,17896,693997,2,0.002461,0.966667
MDV,MDV,8,2,10,343293,16709,360002,0,0.002199,1
SHN,SHN,1,2,3,3,14709,14712,2,0.001268,1
TON,TON,6,2,8,58511,14312,72823,0,0.0021,1
