A,W,Q,E,R,T,Y,U,I,O,
CHN,CHN,132,208,340,1477143550,24922771923,26399915473,1,0.009512,0.32964
USA,USA,179,204,383,14726767855,4891508312,19618276167,1,0.015138,0.330973
DEU,DEU,174,216,390,4810326201,3881404423,8691730624,0,0.014477,0.30178
ITA,ITA,145,196,341,1554785874,2699874321,4254660195,0,0.010687,0.351005
BEL,BEL,124,187,311,1690704103,2137415400,3828119503,0,0.009124,0.384515
FRA,FRA,165,197,362,3473007031,1931609758,5404616789,0,0.013286,0.327364
CAN,CAN,175,184,359,2202359821,1859637538,4061997359,1,0.014558,0.367714
NLD,NLD,135,193,328,2010799481,1531027207,3541826688,0,0.009456,0.36044
KOR,KOR,123,194,317,661358040,1523070110,2184428150,1,0.008174,0.355175
MYS,MYS,99,170,269,656069723,1516392084,2172461807,2,0.006201,0.420849
GBR,GBR,160,201,361,4781521926,1260484818,6042006744,0,0.012425,0.342462
MEX,MEX,115,131,246,2637874058,1186667846,3824541904,1,0.007376,0.511667
ESP,ESP,152,190,342,1660504698,1171416485,2831921183,0,0.011566,0.364751
THA,THA,118,201,319,315960550,1077395128,1393355678,2,0.008311,0.344343
TUR,TUR,108,174,282,290327686,1050092196,1340419882,0,0.006818,0.419363
IDN,IDN,91,200,291,296654489,822677373,1119331862,1,0.006127,0.346131
POL,POL,79,116,195,717519434,797009939,1514529373,0,0.004292,0.604958
JPN,JPN,136,185,321,4146183864,749515455,4895699319,2,0.009399,0.367828
CZE,CZE,124,148,272,571632105,585261901,1156894006,0,0.008246,0.458002
IND,IND,105,201,306,220940932,561441771,782382703,0,0.007259,0.347736
AUT,AUT,165,179,344,707109760,498451044,1205560804,0,0.014498,0.354113
DNK,DNK,119,183,302,578280853,468483496,1046764349,0,0.007951,0.386493
CHE,CHE,141,190,331,655042496,467159010,1122201506,0,0.010579,0.359926
ISR,ISR,84,129,213,204710018,425243522,629953540,0,0.005307,0.515795
SWE,SWE,120,170,290,629323285,412326379,1041649664,0,0.007977,0.420069
VNM,VNM,70,166,236,153889826,411259167,565148993,0,0.004367,0.426701
SGP,SGP,98,167,265,542832543,347022844,889855387,2,0.00575,0.433383
HUN,HUN,99,127,226,454078129,300382244,754460373,0,0.005718,0.511573
PHL,PHL,95,151,246,371230873,295862633,667093506,2,0.006385,0.441234
BGD,BGD,70,119,189,105650221,285926842,391577063,0,0.004112,0.569714
PRT,PRT,109,158,267,357431589,279220124,636651713,0,0.007228,0.441512
ARE,ARE,102,155,257,542079825,259859202,801939027,4,0.007016,0.464807
PAK,PAK,75,152,227,70883953,255342156,326226109,1,0.004404,0.467494
ROU,ROU,89,111,200,349047488,252020511,601067999,0,0.005144,0.604452
BRA,BRA,95,168,263,248603613,229632251,478235864,1,0.00553,0.42552
GRC,GRC,106,137,243,441837103,221352674,663189777,0,0.006774,0.513559
LUX,LUX,67,120,187,110105634,205625084,315730718,0,0.003844,0.587965
SAU,SAU,82,116,198,542494733,191780061,734274794,4,0.004886,0.539753
IRL,IRL,146,140,286,487629409,187051334,674680743,0,0.01084,0.439867
ZAF,ZAF,143,164,307,225334735,158947055,384281790,0,0.010486,0.409108
SVK,SVK,110,106,216,250540037,158895608,409435645,0,0.006498,0.580669
LTU,LTU,84,90,174,96570562,155687593,252258155,0,0.004816,0.640882
LKA,LKA,71,152,223,88114714,150811149,238925863,1,0.004049,0.472602
IRN,IRN,64,133,197,113617610,141765445,255383055,4,0.003938,0.540575
NOR,NOR,105,133,238,372011245,136252130,508263375,0,0.00649,0.525479
BLR,BLR,75,75,150,51723975,132371889,184095864,0,0.004257,0.689698
AUS,AUS,130,167,297,1147373055,126719144,1274092199,1,0.009016,0.399838
BGR,BGR,82,128,210,110924045,109070417,219994462,0,0.004575,0.529519
MAR,MAR,85,123,208,129943531,97911274,227854805,0,0.004795,0.546821
RUS,RUS,114,125,239,871082342,94397358,965479700,0,0.007221,0.505338
UKR,UKR,96,124,220,335203994,93716210,428920204,0,0.005956,0.523674
GTM,GTM,73,78,151,102971567,87946469,190918036,1,0.004734,0.659163
SVN,SVN,124,109,233,115687095,87792576,203479671,0,0.009142,0.469617
FIN,FIN,113,141,254,242128974,84872939,327001913,0,0.006629,0.493973
NZL,NZL,111,127,238,209241950,80135125,289377075,1,0.007021,0.468121
DOM,DOM,91,83,174,79810965,79874004,159684969,1,0.006947,0.553652
ARG,ARG,85,126,211,122553470,78077920,200631390,1,0.004847,0.569606
PER,PER,95,95,190,75810725,76631935,152442660,3,0.005523,0.573871
EGY,EGY,86,134,220,77111299,76517793,153629092,1,0.005386,0.522475
COL,COL,95,110,205,135816290,75719615,211535905,3,0.005969,0.545398
GHA,GHA,106,56,162,80257768,72670940,152928708,4,0.007184,0.561857
EST,EST,100,90,190,68724222,70220386,138944608,0,0.006118,0.572553
URY,URY,77,49,126,33516191,69277210,102793401,1,0.004294,0.74446
CRI,CRI,85,80,165,91880476,69262013,161142489,1,0.005396,0.649542
SLV,SLV,63,69,132,80238554,68472857,148711411,1,0.0039,0.75043
TUN,TUN,93,113,206,79834784,67811435,147646219,0,0.005837,0.545108
SYR,SYR,65,120,185,42742935,64663057,107405992,4,0.00363,0.578219
HND,HND,72,71,143,88270036,63080483,151350519,1,0.004598,0.712939
CIV,CIV,75,56,131,24659658,60635047,85294705,4,0.004663,0.640873
HRV,HRV,112,82,194,126971088,47584955,174556043,0,0.007324,0.578323
KHM,KHM,43,86,129,70226444,45947775,116174219,1,0.002849,0.744893
KEN,KEN,87,87,174,43379595,44342415,87722010,4,0.0062,0.555992
SUR,SUR,53,30,83,12088753,38091213,50179966,1,0.003459,0.740865
LVA,LVA,80,76,156,65247884,37798605,103046489,0,0.00447,0.677426
VEN,VEN,85,80,165,79445885,32443303,111889188,3,0.005226,0.675791
CHL,CHL,92,89,181,221076620,32271686,253348306,1,0.005263,0.66743
JOR,JOR,72,82,154,74932440,31442428,106374868,4,0.00394,0.721398
MMR,MMR,27,74,101,16867402,30860307,47727709,0,0.001826,0.856036
ECU,ECU,81,73,154,118904681,29008655,147913336,3,0.004821,0.702688
