Source,Target,Type,Id,Weight
CHN,USA,Directed,12178,668391612
USA,CAN,Directed,10576,533078877
USA,MEX,Directed,10610,513109160
CAN,USA,Directed,732,290647972
KOR,USA,Directed,6456,253364075
BEL,DEU,Directed,51414,218218688
KOR,JPN,Directed,6445,198318178
DEU,NLD,Directed,2502,195958433
NLD,DEU,Directed,51430,193384166
CHN,DEU,Directed,19024,175387649
MEX,USA,Directed,5598,174385753
DEU,CHE,Directed,2522,148920386
ITA,DEU,Directed,51426,138492409
FRA,DEU,Directed,51421,127530676
DEU,FRA,Directed,2475,119079380
CHN,JPN,Directed,19033,111994021
JPN,USA,Directed,4540,95389088
MYS,SGP,Directed,5335,95115652
DEU,BEL,Directed,2462,87118335
USA,SAU,Directed,10629,76988377
THA,USA,Directed,9417,76089481
DEU,AUT,Directed,2459,73423058
CHE,DEU,Directed,8650,73065388
DNK,DEU,Directed,1574,72562121
USA,JPN,Directed,10604,70877517
DEU,GBR,Directed,2530,69988152
DEU,USA,Directed,2532,65906452
IDN,USA,Directed,4246,53881646
AUT,DEU,Directed,51413,53209531
SGP,MYS,Directed,7372,49850544
THA,JPN,Directed,9398,48363735
CHN,GBR,Directed,1271,47002904
DEU,DNK,Directed,2473,46116755
USA,DEU,Directed,10590,45765218
SGP,USA,Directed,7385,44994600
DEU,ITA,Directed,2488,43217304
MYS,USA,Directed,5339,41849662
CHN,AUS,Directed,19041,41627264
CHN,CAN,Directed,12174,37838664
KOR,CHN,Directed,6438,36709677
DEU,ESP,Directed,2520,36195041
USA,GBR,Directed,10642,34916675
GBR,DEU,Directed,51443,34401117
KOR,DEU,Directed,6484,34245339
USA,SGP,Directed,10631,32316023
THA,DEU,Directed,9395,29458351
CHN,SAU,Directed,19036,29087148
KOR,CAN,Directed,6468,28949291
CHN,FRA,Directed,1264,28526284
USA,AUS,Directed,10565,27605663
PRT,ESP,Directed,6100,27527846
FRA,USA,Directed,57755,26889641
ITA,USA,Directed,57759,26413444
IDN,DEU,Directed,4208,25573130
PHL,USA,Directed,57768,25384489
KOR,SAU,Directed,6517,25283315
ESP,FRA,Directed,7948,25166177
DNK,SWE,Directed,1587,24792733
JPN,MEX,Directed,4522,24763976
THA,GBR,Directed,9415,24311862
USA,CHN,Directed,10579,24244080
THA,SGP,Directed,9410,23636630
PRK,MEX,Directed,53632,23506725
USA,KOR,Directed,10605,23444470
MYS,JPN,Directed,5328,21938235
ITA,CHE,Directed,56480,21884330
JPN,SGP,Directed,4531,21728006
TUR,DEU,Directed,10262,21644320
FRA,ESP,Directed,55876,20859424
ESP,PRT,Directed,7974,20817718
LKA,USA,Directed,8589,20585000
CHN,DNK,Directed,19022,20536001
JPN,MYS,Directed,4519,20100229
