JPN,JPN,26,34,60,16366560,2603048075,2619414635,0,0.007174,0.528205
USA,USA,83,113,196,1035823049,2596798833,3632621882,0,0.026505,0.147409
DEU,DEU,64,85,149,487389963,1953049096,2440439059,0,0.01694,0.238414
AUS,AUS,34,30,64,17974803,1180469320,1198444123,0,0.01031,0.414646
NLD,NLD,51,74,125,491818556,998098565,1489917121,0,0.012453,0.265921
GBR,GBR,50,87,137,121403768,945423874,1066827642,0,0.012449,0.232601
BEL,BEL,58,71,129,360943605,818378194,1179321799,0,0.014664,0.290652
FRA,FRA,47,67,114,137331991,784568408,921900399,1,0.012252,0.29376
MEX,MEX,32,38,70,65007057,654947199,719954256,0,0.008581,0.409864
CAN,CAN,46,55,101,419486448,618967710,1038454158,0,0.011726,0.273402
KOR,KOR,44,52,96,46939792,605032869,651972661,0,0.014203,0.349022
PHL,PHL,19,34,53,9034594,438928827,447963421,0,0.005915,0.427564
ESP,ESP,57,78,135,135139083,356952954,492092037,1,0.016253,0.209444
THA,THA,21,55,76,10836299,322633556,333469855,0,0.007393,0.325469
MYS,MYS,45,44,89,139491935,307462068,446954003,0,0.013298,0.322837
ITA,ITA,63,84,147,438807915,301639631,740447546,1,0.017588,0.236386
CHN,CHN,122,97,219,12716213088,222062750,12938275838,0,0.053979,0.12184
CHE,CHE,34,46,80,96328630,203307307,299635937,1,0.008169,0.411784
AUT,AUT,51,43,94,98445758,175714864,274160622,1,0.014788,0.402981
IDN,IDN,25,34,59,23704798,123317646,147022444,0,0.007244,0.491463
MAC,MAC,8,2,10,3928664,110804121,114732785,0,0.00264,0.875
SWE,SWE,22,44,66,35266734,104354474,139621208,3,0.00535,0.452571
POL,POL,30,40,70,80745634,103607040,184352674,0,0.006897,0.55371
SGP,SGP,46,36,82,18748851,102693816,121442667,0,0.012005,0.399274
ARG,ARG,9,10,19,1414455,97393330,98807785,0,0.003612,0.627273
NZL,NZL,17,10,27,6207898,92449883,98657781,0,0.005918,0.655844
DNK,DNK,26,38,64,60960404,72832004,133792408,3,0.00792,0.484496
NOR,NOR,20,33,53,2055107,71854366,73909473,3,0.004742,0.52521
SAU,SAU,26,39,65,7335465,63598345,70933810,3,0.008735,0.408638
ARE,ARE,47,43,90,19528125,60843825,80371950,3,0.016471,0.293029
FIN,FIN,21,28,49,2708223,57254480,59962703,0,0.005066,0.620968
CZE,CZE,32,29,61,46782168,53271508,100053676,0,0.007644,0.50122
IRL,IRL,23,17,40,135513657,53181783,188695440,0,0.005699,0.67931
IND,IND,61,63,124,256664391,45198657,301863048,0,0.022723,0.252581
PER,PER,12,12,24,2688650,43350100,46038750,0,0.005163,0.581871
EGY,EGY,27,32,59,10700977,42508682,53209659,0,0.007657,0.454596
BRA,BRA,27,28,55,12027888,40086495,52114383,2,0.008321,0.387821
PRT,PRT,23,36,59,30182484,39510122,69692606,1,0.006407,0.391414
ROU,ROU,22,29,51,1002294,38899287,39901581,0,0.0058,0.630682
TUR,TUR,37,51,88,28186695,30193283,58379978,3,0.010629,0.34513
SVN,SVN,25,19,44,24111565,29055206,53166771,1,0.006382,0.612903
BGD,BGD,17,9,26,4823525,27597996,32421521,0,0.00485,0.735714
PAN,PAN,12,13,25,1948239,27047967,28996206,0,0.004184,0.429825
VNM,VNM,42,20,62,63110155,25406549,88516704,0,0.012089,0.414894
IRN,IRN,6,26,32,268828,22100558,22369386,0,0.00272,0.42328
SVK,SVK,22,19,41,14799004,21217145,36016149,0,0.00598,0.636243
PAK,PAK,40,20,60,52926188,20929306,73855494,3,0.013654,0.448505
LUX,LUX,14,11,25,35937756,20067129,56004885,0,0.00487,0.767974
HUN,HUN,18,20,38,8649893,19908668,28558561,0,0.005123,0.772727
UKR,UKR,23,20,43,3933429,18649756,22583185,3,0.006266,0.568376
EST,EST,18,14,32,2165600,17342078,19507678,0,0.004578,0.72619
ZAF,ZAF,33,46,79,8945493,16785697,25731190,0,0.011618,0.306715
LTU,LTU,24,19,43,40502088,16711038,57213126,3,0.005706,0.640394
GRC,GRC,30,27,57,12133092,15079242,27212334,0,0.008644,0.461092
RUS,RUS,29,24,53,15542343,14968195,30510538,3,0.00712,0.480159
HRV,HRV,14,18,32,5126167,14697210,19823377,1,0.004075,0.733766
TUN,TUN,17,20,37,1690886,14561675,16252561,0,0.004459,0.57266
PRY,PRY,5,16,21,833563,13031147,13864710,2,0.002418,0.554167
KWT,KWT,19,12,31,219589,11819203,12038792,3,0.00543,0.638333
GTM,GTM,11,11,22,5443815,11557175,17000990,0,0.005925,0.570513
URY,URY,12,8,20,979366,10954408,11933774,0,0.003765,0.5
ISR,ISR,27,27,54,10771609,10823761,21595370,0,0.006939,0.519915
KAZ,KAZ,2,3,5,56840,10064740,10121580,0,0.001677,0.75
MNG,MNG,2,2,4,132174,10024113,10156287,0,0.001511,0.833333
BGR,BGR,19,23,42,7567335,9922315,17489650,1,0.005334,0.62
HND,HND,9,14,23,4299611,9824167,14123778,0,0.003654,0.575
MAR,MAR,17,15,32,22179281,9518327,31697608,1,0.004416,0.553333
DOM,DOM,9,19,28,8067385,9289088,17356473,0,0.003321,0.512987
CHL,CHL,27,15,42,10015022,8994833,19009855,2,0.008332,0.465517
ECU,ECU,17,10,27,2478690,8933477,11412167,0,0.006045,0.536797
SLV,SLV,13,9,22,11810624,8892989,20703613,0,0.004947,0.480952
CRI,CRI,17,15,32,7245994,8696605,15942599,0,0.006342,0.458498
BOL,BOL,14,7,21,1937742,8127886,10065628,2,0.004831,0.6125
COL,COL,13,17,30,4426541,8126564,12553105,0,0.00471,0.434783
SYR,SYR,16,16,32,4145693,7971131,12116824,3,0.004387,0.554131
YEM,YEM,12,5,17,4267825,6980111,11247936,0,0.004206,0.648352
LVA,LVA,14,20,34,17295498,6552031,23847529,3,0.003557,0.675725
SRB,SRB,22,18,40,3622030,6241893,9863923,1,0.007383,0.609231
JOR,JOR,8,14,22,371756,6018375,6390131,0,0.003123,0.46732
PRK,PRK,2,4,6,485390,5985848,6471238,0,0.001679,0.65
AND,AND,1,4,5,10,5884988,5884998,1,0.0015,0.75
VEN,VEN,10,12,22,469335,5800450,6269785,0,0.003733,0.570833
LBN,LBN,14,20,34,2576659,4801768,7378427,1,0.003963,0.418391
ISL,ISL,8,10,18,401935,4638538,5040473,0,0.002364,0.712121
MLT,MLT,11,13,24,160800,4585434,4746234,1,0.003602,0.636029
BLR,BLR,4,13,17,582271,4452176,5034447,3,0.001699,0.774725
TZA,TZA,12,9,21,343995,4429300,4773295,0,0.005742,0.6125
NIC,NIC,9,8,17,2603772,4373005,6976777,0,0.003725,0.766667
MKD,MKD,13,9,22,3405330,2954619,6359949,1,0.004251,0.626374
KEN,KEN,21,12,33,6506261,2772448,9278709,1,0.007604,0.478333
QAT,QAT,36,9,45,3233258,2675399,5908657,3,0.00933,0.57468
TTO,TTO,4,8,12,199682,2373326,2573008,0,0.002379,0.679487
SWZ,SWZ,1,2,3,695881,1759957,2455838,0,0.001242,0.5
BIH,BIH,13,8,21,1730449,1467558,3198007,1,0.003908,0.814286
HTI,HTI,2,2,4,354441,1463759,1818200,0,0.001408,1
CYP,CYP,8,7,15,34048,1450188,1484236,1,0.002428,0.673077
AZE,AZE,4,3,7,10617669,1263171,11880840,0,0.002092,0.7
UZB,UZB,4,1,5,920749,1167414,2088163,0,0.001723,0.85
BHR,BHR,11,6,17,1956716,1146208,3102924,3,0.004132,0.820513
MMR,MMR,3,2,5,5225922,1135440,6361362,0,0.001912,1
NAM,NAM,6,5,11,131768,1062809,1194577,0,0.004024,0.672727
LKA,LKA,23,13,36,18561671,1026893,19588564,1,0.007834,0.658333
FJI,FJI,2,4,6,408,931044,931452,0,0.001626,0.65
CMR,CMR,8,2,10,476290,747692,1223982,1,0.002453,0.911111
MUS,MUS,7,7,14,23105,734987,758092,0,0.002828,0.606061
GHA,GHA,14,6,20,443885,683515,1127400,1,0.008922,0.474265
ASM,ASM,0,1,1,0,623399,623399,0,0.001027,1
ALB,ALB,7,2,9,2230766,575591,2806357,1,0.002812,0.809524
NPL,NPL,3,1,4,511882,567940,1079822,0,0.001551,0.833333
JAM,JAM,3,5,8,177537,557897,735434,0,0.001529,0.930556
KGZ,KGZ,5,1,6,301481,554047,855528,0,0.003212,0.65
BEN,BEN,3,2,5,38492,527825,566317,4,0.002161,0.583333
CUB,CUB,4,2,6,148025,452782,600807,0,0.001682,0.8
BTN,BTN,1,1,2,203320,411399,614719,0,0.001334,0.833333
BRB,BRB,4,5,9,40964,402779,443743,0,0.001782,0.714286
NGA,NGA,15,5,20,2677077,386753,3063830,1,0.007501,0.517544
MDG,MDG,8,3,11,299875,348360,648235,1,0.002741,0.644444
KHM,KHM,6,3,9,152793,333299,486092,0,0.002959,0.857143
BMU,BMU,4,1,5,104108,287796,391904,0,0.001789,0.85
FRO,FRO,4,2,6,4212,248681,252893,3,0.002048,0.55
AFG,AFG,2,1,3,165326,230319,395645,3,0.001696,0.5
MNE,MNE,9,2,11,135056,220405,355461,1,0.003231,0.822222
PYF,PYF,2,3,5,21727,214790,236517,1,0.00136,1
BRN,BRN,7,3,10,270969,210642,481611,0,0.002605,0.952381
BWA,BWA,4,3,7,50034,209789,259823,5,0.002347,0.7
BHS,BHS,2,1,3,17604663,208466,17813129,0,0.001408,1
LBY,LBY,5,4,9,319054,206848,525902,1,0.002021,0.714286
CIV,CIV,16,4,20,2342182,190150,2532332,1,0.013909,0.517544
GUY,GUY,2,4,6,1053,187157,188210,1,0.001479,0.75
OMN,OMN,12,7,19,891303,186453,1077756,3,0.004369,0.704762
SDN,SDN,9,3,12,1253599,180186,1433785,3,0.003568,0.672727
DMA,DMA,3,2,5,27800,180090,207890,0,0.001536,0.85
MLI,MLI,4,2,6,53569,170000,223569,1,0.0028,0.75
MWI,MWI,4,1,5,74575,164625,239200,5,0.002416,0.65
TGO,TGO,4,4,8,635066,153040,788106,4,0.003563,0.930556
SUR,SUR,1,4,5,330,144284,144614,0,0.00117,0.7
LCA,LCA,3,1,4,31597,141702,173299,0,0.001661,0.833333
WSM,WSM,2,1,3,1709,138000,139709,0,0.00173,1
PNG,PNG,2,3,5,15202,134680,149882,0,0.001465,1
CPV,CPV,2,2,4,192856,120003,312859,1,0.001651,1
ZWE,ZWE,5,4,9,1661926,117976,1779902,5,0.005206,0.714286
SYC,SYC,6,3,9,57119,102645,159764,1,0.002693,0.930556
DJI,DJI,5,3,8,980070,90827,1070897,0,0.002148,0.75
DZA,DZA,12,3,15,2595909,82718,2678627,1,0.003543,0.807692
ANT,ANT,3,2,5,21840,81707,103547,3,0.001634,0.666667
ABW,ABW,3,3,6,20536,73512,94048,1,0.001634,0.75
BFA,BFA,3,3,6,50012,63200,113212,1,0.006146,0.75
ZMB,ZMB,8,4,12,321610,53713,375323,0,0.004763,0.672727
NER,NER,3,1,4,101,45000,45101,1,0.004323,1
VGB,VGB,0,1,1,0,44570,44570,0,0.001027,1
COK,COK,1,1,2,18000,38000,56000,0,0.001227,1
GEO,GEO,8,2,10,315435,37262,352697,0,0.00316,0.477778
MDA,MDA,4,2,6,84247,34191,118438,1,0.001808,0.9
SEN,SEN,8,2,10,231547,32000,263547,1,0.0027,0.708333
SLE,SLE,0,1,1,0,30000,30000,1,0.001027,1
GIN,GIN,7,1,8,121519,28000,149519,1,0.004428,0.75
