Source,Target,Type,Id,Weight
USA,CHN,Directed,2095,1214249702
JPN,CHN,Directed,1050,1212172642
USA,CAN,Directed,2088,344923513
NLD,CHN,Directed,1258,328463421
DEU,CHN,Directed,630,315834989
BEL,CHN,Directed,119,249215282
CAN,CHN,Directed,252,223959379
MEX,USA,Directed,1215,192992724
GBR,CHN,Directed,1951,176949685
CAN,USA,Directed,276,148534689
FRA,ITA,Directed,562,132716746
FRA,CHN,Directed,545,130286898
MYS,CHN,Directed,1148,118813694
AUS,CHN,Directed,21,117746752
CHN,USA,Directed,316,95588765
MEX,CHN,Directed,1195,94672601
DEU,USA,Directed,713,90786955
DEU,NLD,Directed,667,88351991
NLD,BEL,Directed,1255,87614291
KOR,CHN,Directed,1449,81252926
DEU,ITA,Directed,654,75990929
ITA,USA,Directed,1036,75366256
FRA,ESP,Directed,594,75036062
USA,MEX,Directed,2163,74905274
MYS,THA,Directed,1162,71085620
THA,CHN,Directed,1800,67968339
BEL,NLD,Directed,141,67880143
FRA,BEL,Directed,540,58763244
SGP,CHN,Directed,1545,58754381
FRA,NLD,Directed,577,58092675
CHE,DEU,Directed,1757,55716187
USA,IND,Directed,2197,53916037
BEL,DEU,Directed,125,47724130
NLD,IRL,Directed,1271,42679674
DEU,BEL,Directed,619,40086399
FRA,DEU,Directed,553,36404550
FRA,IRL,Directed,561,36075370
DEU,DNK,Directed,637,35416351
PHL,CHN,Directed,1388,34082014
BEL,IND,Directed,147,32798629
NLD,DEU,Directed,1265,31622086
BEL,USA,Directed,159,30668605
IDN,CHN,Directed,818,29376005
ESP,USA,Directed,1679,28352327
ITA,CHN,Directed,949,25846605
BEL,FRA,Directed,124,25583645
GBR,USA,Directed,2053,21364906
POL,DEU,Directed,1413,21192545
USA,ITA,Directed,2146,20868505
CHE,NLD,Directed,1764,20843196
GBR,ITA,Directed,1984,20205295
AUT,DEU,Directed,49,20115050
DEU,LUX,Directed,663,19941058
FRA,USA,Directed,608,19521543
USA,BEL,Directed,2077,19224986
GBR,IND,Directed,2029,19085646
NLD,ITA,Directed,1273,18961223
NLD,USA,Directed,1306,18179987
BEL,ITA,Directed,132,17780560
CHE,FRA,Directed,1756,17704162
NOR,SWE,Directed,1366,17328586
NZL,CHN,Directed,1339,16742673
SGP,MYS,Directed,1549,16662806
DEU,CHE,Directed,697,16521738
USA,KOR,Directed,2157,16346730
JPN,KOR,Directed,1055,15877757
CHE,ITA,Directed,1761,15649716
SWE,NLD,Directed,1728,15546648
LUX,BEL,Directed,1131,15007040
DEU,LTU,Directed,660,14871040
ESP,CHN,Directed,1654,14472131
DEU,ESP,Directed,692,14237239
NLD,IND,Directed,1294,14231185
FRA,LUX,Directed,568,14181930
USA,COL,Directed,2097,14104099
BEL,GBR,Directed,158,14103803
JPN,USA,Directed,1070,13790209
DNK,DEU,Directed,444,13571934
DEU,AUT,Directed,616,13543758
GBR,DEU,Directed,1969,13484508
KOR,MYS,Directed,1457,13181157
NLD,FRA,Directed,1263,11789478
USA,DEU,Directed,2118,11760609
SAU,CHN,Directed,1520,10998176
AUT,ITA,Directed,56,10906022
ITA,DEU,Directed,962,10808280
AUT,NLD,Directed,60,10582315
NOR,DNK,Directed,1351,10543406
DEU,PHL,Directed,673,10255345
DEU,IND,Directed,684,9957111
CZE,CHN,Directed,403,9712472
ITA,FRA,Directed,959,9705489
DEU,GBR,Directed,710,9561526
SWE,CHN,Directed,1714,9398982
USA,ESP,Directed,2207,9281077
MYS,IDN,Directed,1152,9232285
USA,GBR,Directed,2226,9177291
FRA,CHE,Directed,599,9080210
TUR,CHN,Directed,1868,8630061
GBR,NLD,Directed,2007,8551710
DEU,CZE,Directed,634,8454260
DEU,FRA,Directed,641,8449450
ESP,PRT,Directed,1670,8309180
DEU,IRL,Directed,653,8252871
ESP,FRA,Directed,1660,7798685
SWE,DNK,Directed,1715,7715811
SVN,ITA,Directed,1584,7652044
GBR,FRA,Directed,1967,7280945
ARE,IND,Directed,1935,6836402
KOR,VNM,Directed,1466,6835425
NLD,GBR,Directed,1305,6818025
SAU,PAK,Directed,1527,6677000
CZE,DEU,Directed,406,6610700
CAN,IND,Directed,270,6499329
DNK,CHN,Directed,440,6413356
SWE,ITA,Directed,1723,6018568
NLD,BGR,Directed,1256,5922436
FRA,IND,Directed,588,5865997
ESP,ITA,Directed,1665,5804905
SWE,FRA,Directed,1718,5800575
ARG,CHN,Directed,8,5712799
USA,MYS,Directed,2162,5444417
NZL,AUS,Directed,1338,5402197
USA,ZAF,Directed,2205,5356443
PRY,BRA,Directed,1382,5278411
GBR,BEL,Directed,1944,5206683
USA,JPN,Directed,2152,5187322
FRA,GBR,Directed,606,5182400
PRT,USA,Directed,1436,5093406
SWE,LVA,Directed,1725,5032147
DEU,PRT,Directed,677,5011397
NOR,DEU,Directed,1355,4955730
CHE,AUT,Directed,1750,4895402
USA,NLD,Directed,2169,4861719
ITA,IND,Directed,1008,4761460
TUR,ITA,Directed,1877,4754495
IDN,AUS,Directed,838,4727924
MYS,SGP,Directed,1159,4716192
NOR,LVA,Directed,1360,4692825
USA,AUS,Directed,2068,4663714
BEL,LUX,Directed,138,4656494
GBR,ZAF,Directed,2033,4483989
KOR,GBR,Directed,4289,4453139
CHE,BEL,Directed,1751,4449025
BRA,CHN,Directed,206,4304688
USA,CHL,Directed,2092,4294885
KOR,JPN,Directed,1455,4238220
BRA,USA,Directed,217,4218279
IDN,IND,Directed,830,4200005
FIN,SWE,Directed,529,4189300
DNK,NLD,Directed,451,4151170
LUX,DEU,Directed,1134,4122928
DNK,IND,Directed,455,4028180
NLD,SAU,Directed,1291,4012028
PRT,ESP,Directed,1434,3969562
GBR,DNK,Directed,1960,3958626
DNK,USA,Directed,460,3857405
SVN,AUT,Directed,1577,3806095
DEU,POL,Directed,674,3631783
JPN,THA,Directed,1068,3614190
KOR,IND,Directed,1464,3600765
SWE,DEU,Directed,1719,3588575
DNK,SWE,Directed,456,3541227
FRA,MAR,Directed,575,3488022
IND,EGY,Directed,806,3421660
FIN,DEU,Directed,515,3414998
POL,USA,Directed,1417,3396636
VNM,CHN,Directed,2244,3372134
IRL,GBR,Directed,909,3366950
USA,DOM,Directed,2105,3362829
USA,PAN,Directed,2182,3358559
TUR,IRL,Directed,1875,3332668
URY,CHN,Directed,2060,3258313
MYS,PHL,Directed,1156,3233684
ITA,MAR,Directed,989,3232919
USA,SGP,Directed,2200,3227138
HUN,AUT,Directed,744,3197950
GBR,IRL,Directed,1980,3195737
NOR,LTU,Directed,1361,3189623
JPN,IND,Directed,1064,3176005
RUS,USA,Directed,1513,3129835
USA,GTM,Directed,2125,3125935
USA,BRA,Directed,2083,3116200
THA,IND,Directed,1819,3063753
AUT,SVN,Directed,67,3055278
AUT,CHE,Directed,71,3046030
DEU,TUR,Directed,703,2970640
USA,SLV,Directed,2111,2953757
USA,MAR,Directed,2166,2918323
ITA,KEN,Directed,977,2870580
ITA,ESP,Directed,1017,2854975
DEU,GRC,Directed,644,2851986
IDN,GBR,Directed,863,2835842
BLR,RUS,Directed,101,2739928
BEL,MYS,Directed,139,2729784
MEX,IRL,Directed,1204,2724407
IDN,IRL,Directed,821,2715109
USA,PHL,Directed,2187,2710969
MAR,BEL,Directed,1236,2682304
CHN,CAN,Directed,298,2627665
GBR,ESP,Directed,2036,2626942
IRL,USA,Directed,910,2620488
MYS,IND,Directed,1158,2610687
JPN,PHL,Directed,1062,2608449
NLD,DNK,Directed,1261,2576494
IND,CHN,Directed,764,2569776
FIN,CHN,Directed,511,2560771
GBR,CAN,Directed,1948,2558314
SVN,DEU,Directed,1582,2543028
SVK,CZE,Directed,1561,2537130
MAC,CHN,Directed,361,2522259
NLD,GRC,Directed,1266,2502357
SWE,POL,Directed,1732,2485503
POL,ITA,Directed,1415,2484733
ITA,ALB,Directed,935,2460248
SAU,ARE,Directed,1530,2449370
BEL,PRT,Directed,178,2412550
ZAF,ZWE,Directed,1623,2393681
SWE,USA,Directed,1741,2389239
DNK,GBR,Directed,459,2381927
USA,TUR,Directed,2220,2372433
USA,IRL,Directed,2142,2354924
USA,FRA,Directed,2114,2329621
USA,CRI,Directed,2099,2290531
TUN,ITA,Directed,1860,2290284
AUT,CZE,Directed,45,2287680
IDN,USA,Directed,837,2280099
USA,HND,Directed,2131,2278790
BEL,ESP,Directed,150,2256222
USA,ECU,Directed,2108,2250651
SWZ,ZAF,Directed,1708,2236524
CZE,POL,Directed,413,2209199
AUT,SVK,Directed,66,2121707
USA,SHN,Directed,2193,2092911
ESP,DEU,Directed,1661,2084780
FRA,CAN,Directed,544,2084539
KOR,CAN,Directed,2561,2072772
IRN,IND,Directed,3209,2070660
DEU,BGR,Directed,623,2049934
AUT,SCG,Directed,77,2017513
ZAF,CHN,Directed,1602,2013181
ARE,CHN,Directed,1929,2007763
CZE,ITA,Directed,409,2003355
CRI,USA,Directed,380,1997947
JPN,MYS,Directed,1057,1916851
SAU,TUR,Directed,4218,1915904
MAR,KEN,Directed,1246,1908959
ECU,CHN,Directed,475,1897175
DOM,USA,Directed,472,1888869
ISL,USA,Directed,759,1884429
KAZ,CHN,Directed,1100,1858446
SGP,PHL,Directed,1552,1851849
IRL,CHN,Directed,898,1848140
ESP,MAR,Directed,1668,1847938
BEL,GRC,Directed,126,1847906
IDN,DEU,Directed,845,1845325
PAN,CRI,Directed,1372,1821448
MEX,IND,Directed,1211,1791640
ARE,PAK,Directed,1933,1768970
HUN,DEU,Directed,747,1768800
AUT,BGR,Directed,42,1759765
MYS,USA,Directed,1164,1752458
LBN,CHN,Directed,1114,1737642
SWE,LTU,Directed,1726,1719311
HUN,ITA,Directed,748,1709799
SGP,USA,Directed,1555,1705840
GBR,LUX,Directed,1998,1696920
ITA,GBR,Directed,1033,1679385
ITA,AUT,Directed,940,1675360
NLD,ESP,Directed,1298,1674553
FRA,DZA,Directed,534,1673114
TUR,GBR,Directed,1912,1659397
SGP,CAN,Directed,1543,1656796
LUX,FRA,Directed,1133,1650815
AUT,HUN,Directed,53,1628575
USA,THA,Directed,2214,1618234
ROU,TUR,Directed,1502,1602042
AUS,SGP,Directed,32,1590273
IDN,KOR,Directed,824,1576052
USA,ARE,Directed,2218,1560053
PRT,FRA,Directed,1428,1551441
CYP,GRC,Directed,399,1526869
GBR,PAK,Directed,2014,1521197
THA,MYS,Directed,1812,1520319
GRC,CHN,Directed,721,1496304
MEX,ITA,Directed,1205,1494503
DEU,CAN,Directed,628,1474822
PRT,CHN,Directed,1427,1471430
PRT,ITA,Directed,1431,1470227
ITA,NLD,Directed,991,1466992
IDN,THA,Directed,836,1458323
NOR,CHN,Directed,1356,1453903
CHN,SGP,Directed,309,1445288
NLD,TUR,Directed,1303,1443776
ESP,DZA,Directed,1651,1421612
NLD,SVK,Directed,1295,1418980
USA,BOL,Directed,2081,1417705
RUS,BLR,Directed,2399,1414377
NOR,USA,Directed,1369,1408791
USA,SWE,Directed,2210,1405364
POL,BEL,Directed,1410,1401574
ESP,IND,Directed,1672,1392137
BEL,TUR,Directed,186,1378624
CHN,KOR,Directed,303,1359118
EGY,CHN,Directed,480,1356714
USA,VEN,Directed,2232,1356495
IDN,SGP,Directed,831,1347203
PHL,KOR,Directed,1395,1342613
SWE,CAN,Directed,1713,1336637
IDN,MYS,Directed,825,1327138
LTU,DEU,Directed,1125,1320877
MLT,CHN,Directed,1173,1314497
DEU,KOR,Directed,659,1302057
LVA,LTU,Directed,1109,1293999
ZAF,LSO,Directed,3508,1250152
USA,SAU,Directed,2195,1249791
GBR,ARE,Directed,2046,1245805
CHN,PHL,Directed,322,1242941
ITA,CAN,Directed,948,1241216
MLT,ITA,Directed,1179,1239551
SWE,EST,Directed,1716,1229171
ESP,IRL,Directed,1663,1221886
CHE,USA,Directed,1775,1216167
SAU,ITA,Directed,1522,1203872
VEN,USA,Directed,2242,1198434
JPN,PRK,Directed,1054,1194082
IRN,CHN,Directed,877,1187702
GBR,KEN,Directed,1989,1184053
CHN,MYS,Directed,305,1181091
TUR,EGY,Directed,1911,1174956
BEL,CZE,Directed,121,1156699
CZE,NLD,Directed,411,1147554
USA,RUS,Directed,2192,1147247
QAT,ARE,Directed,1444,1146533
ESP,BEL,Directed,1652,1139676
MNG,CHN,Directed,1235,1138345
LUX,NLD,Directed,1137,1137260
GBR,MAR,Directed,2004,1136360
BEL,SGP,Directed,148,1135960
USA,NIC,Directed,2176,1131954
PHL,USA,Directed,1402,1131534
GRC,USA,Directed,4362,1126728
KWT,CHN,Directed,2726,1113750
SWE,BEL,Directed,1711,1110440
NLD,AUT,Directed,1253,1097517
POL,NLD,Directed,1416,1088700
ITA,CZE,Directed,954,1084310
NLD,CAN,Directed,1257,1078290
URY,BRA,Directed,2058,1077062
POL,FRA,Directed,1412,1068993
ESP,NLD,Directed,1669,1062102
DNK,PRT,Directed,454,1057853
RUS,CHN,Directed,1507,1041385
BLR,DEU,Directed,99,1025074
USA,IDN,Directed,2139,1011941
GTM,HND,Directed,731,1005413
FRA,PRT,Directed,583,999483
ARG,BRA,Directed,6,997092
SVN,USA,Directed,1590,990611
DEU,HUN,Directed,648,986125
ROU,BGR,Directed,1487,980930
NLD,PAK,Directed,1285,976045
PHL,MAC,Directed,1396,971740
NLD,IDN,Directed,1270,953271
SVK,CHN,Directed,2657,950732
ISR,ZAF,Directed,927,946804
CZE,AUT,Directed,401,945585
CZE,GRC,Directed,3125,933775
USA,EGY,Directed,2224,933208
DEU,RUS,Directed,680,924812
FIN,USA,Directed,533,912643
DNK,ITA,Directed,447,906690
DOM,CHN,Directed,467,896320
CHL,CHN,Directed,288,895916
CHN,IND,Directed,308,885396
ROU,ITA,Directed,1491,879133
ITA,SAU,Directed,1007,878920
BEL,CAN,Directed,117,867995
DEU,SVN,Directed,688,867767
POL,CHN,Directed,1414,862675
SAU,IND,Directed,3223,861180
IRN,IRL,Directed,891,858750
BEL,SAU,Directed,146,854687
EST,CHN,Directed,498,853032
ITA,SVN,Directed,1013,851212
ZAF,SWZ,Directed,4104,847610
CHE,DNK,Directed,1753,836810
DEU,MYS,Directed,664,830642
USA,CHE,Directed,2211,828322
ROU,AUT,Directed,1485,828125
VEN,COL,Directed,2236,816957
PRT,NLD,Directed,1433,813915
FRA,CZE,Directed,547,808806
ISR,ITA,Directed,923,800736
ITA,BEL,Directed,941,789048
NOR,GBR,Directed,1368,788916
AUT,FRA,Directed,48,787375
POL,LTU,Directed,1420,778481
BRA,ARG,Directed,204,773987
CHE,PRT,Directed,1766,768014
NOR,NLD,Directed,1362,761522
USA,NGA,Directed,2178,743019
DNK,NOR,Directed,452,740480
BRA,PRY,Directed,212,738989
BEL,PAK,Directed,143,735733
MEX,KOR,Directed,1208,734875
HRV,SVN,Directed,391,734853
MYS,CMR,Directed,1147,730500
NLD,MYS,Directed,1278,729515
HUN,USA,Directed,754,726065
SWE,NOR,Directed,1730,722059
AUS,NZL,Directed,28,719920
DNK,FRA,Directed,443,719913
SGP,NZL,Directed,1550,719619
KOR,AUS,Directed,1446,719534
SVK,DEU,Directed,1563,718168
DEU,ZAF,Directed,691,717542
NLD,ARE,Directed,1302,710932
MKD,SCG,Directed,1790,707776
GBR,ETH,Directed,1963,707367
THA,USA,Directed,1827,706755
CHE,CHN,Directed,1752,703689
CHE,ESP,Directed,1771,703112
CAN,ITA,Directed,261,701493
KOR,USA,Directed,1471,701082
NLD,CHE,Directed,1300,697054
CHN,DEU,Directed,299,688007
DEU,ARE,Directed,702,687185
CHN,IDN,Directed,336,684006
CZE,BEL,Directed,402,675036
DEU,SWE,Directed,695,671675
CHN,ZAF,Directed,311,670632
JAM,USA,Directed,1044,665235
DEU,NGA,Directed,3729,661680
CHE,GBR,Directed,1774,659772
SAU,PHL,Directed,3785,652552
GRC,ITA,Directed,723,651713
GTM,CHN,Directed,2624,649155
KWT,IND,Directed,3214,645560
CHN,GBR,Directed,315,645060
TUR,ESP,Directed,1883,643177
MYS,IRL,Directed,3303,640000
GBR,ISR,Directed,1982,633737
POL,CZE,Directed,1411,630783
AUS,USA,Directed,35,625565
BGR,GRC,Directed,227,623825
IND,SAU,Directed,800,623539
ARG,USA,Directed,12,623425
ITA,GRC,Directed,965,621542
ITA,TUR,Directed,1027,621483
TUR,IND,Directed,1882,616986
GBR,NOR,Directed,2012,602403
FIN,LVA,Directed,520,601158
ISL,NLD,Directed,757,599776
VEN,IRL,Directed,2238,597235
IRL,DEU,Directed,899,595965
ROU,CHN,Directed,1488,590245
MKD,BGR,Directed,1789,587718
BRB,USA,Directed,98,585097
FIN,NOR,Directed,524,582937
NIC,GTM,Directed,1345,581315
JPN,NZL,Directed,1060,580896
CHE,IRL,Directed,1779,580138
USA,FIN,Directed,2113,576866
BEL,POL,Directed,144,576627
IND,KEN,Directed,794,574320
USA,PAK,Directed,2180,567811
FIN,ITA,Directed,519,566446
USA,BLZ,Directed,2085,562195
IDN,NZL,Directed,853,559684
USA,VNM,Directed,2202,558285
IND,USA,Directed,786,557849
MEX,CAN,Directed,1193,555586
USA,JAM,Directed,2151,554001
FIN,DNK,Directed,513,553269
USA,ATG,Directed,2066,549594
SLV,USA,Directed,496,549270
NLD,KOR,Directed,1276,541938
BGR,MKD,Directed,233,539340
PRT,DEU,Directed,1429,539148
FRA,CMR,Directed,543,530779
TUR,BEL,Directed,1889,529987
ZAF,GBR,Directed,1627,527754
IDN,PHL,Directed,855,526478
ROU,BEL,Directed,1486,525587
ROU,HUN,Directed,1490,524175
ESP,TUR,Directed,1695,521970
PHL,SGP,Directed,1399,519195
FRA,MYS,Directed,570,518323
JPN,IDN,Directed,1053,515843
CHN,VNM,Directed,310,512466
GBR,AUS,Directed,1940,509736
BHR,ARE,Directed,92,508687
PAK,CHN,Directed,2647,507775
ROU,DEU,Directed,1489,507213
TUN,CHN,Directed,1858,504603
HND,SLV,Directed,739,503617
EST,SWE,Directed,503,501181
ESP,SAU,Directed,1671,500550
ZAF,BWA,Directed,2471,499578
HND,CHN,Directed,738,496999
KEN,IND,Directed,3212,496485
ZAF,ITA,Directed,1609,492624
AUT,USA,Directed,76,489238
KOR,DEU,Directed,1450,488597
CHN,NZL,Directed,306,488267
JPN,VNM,Directed,1066,487189
CHE,IND,Directed,1782,485772
CAN,GBR,Directed,275,484988
JPN,GBR,Directed,1091,480763
SGP,AUS,Directed,1538,480720
VNM,JPN,Directed,2247,479813
BEL,AUT,Directed,112,478177
DEU,LKA,Directed,629,476550
IRL,BEL,Directed,2415,476527
CRI,CHN,Directed,372,475009
GBR,MYS,Directed,2000,472058
USA,ISR,Directed,2144,471860
ITA,IRL,Directed,970,469779
USA,PER,Directed,2185,468389
ESP,KOR,Directed,1666,464823
ITA,IRN,Directed,969,462923
THA,ZAF,Directed,1822,461500
PHL,MYS,Directed,1397,458888
CHN,JPN,Directed,301,457254
BLR,CAN,Directed,103,450010
SVN,LUX,Directed,1585,447614
NLD,KEN,Directed,1323,447027
MEX,JPN,Directed,1206,445799
SAU,MYS,Directed,3583,440152
HRV,AUT,Directed,385,435822
USA,KAZ,Directed,2155,435364
BGR,TUR,Directed,231,433307
GRC,BEL,Directed,719,431996
AUS,KOR,Directed,38,431447
DEU,NOR,Directed,671,431278
NLD,PHL,Directed,1286,429887
